run_utc,stage,layer,attempt,http_status,detail
2026-09-24T19:17:04.600802+00:00,metadata,MapServer,1,500,
2026-09-24T19:17:04.600802+00:00,metadata,MapServer,2,500,
2026-09-24T19:17:04.600802+00:00,metadata,MapServer,3,500,
2026-09-24T19:17:04.600802+00:00,metadata,MapServer,4,500,
2026-09-24T19:17:04.600802+00:00,metadata,MapServer,5,500,
2026-09-24T19:17:04.600802+00:00,query,parroquia,1,500,
2026-09-24T19:17:04.600802+00:00,query,parroquia,2,500,
2026-09-24T19:17:04.600802+00:00,query,parroquia,3,500,
2026-09-24T19:17:04.600802+00:00,query,parroquia,4,500,
2026-09-24T19:17:04.600802+00:00,query,parroquia,5,500,
2026-09-24T19:17:04.600802+00:00,query,zona,1,500,
2026-09-24T19:17:04.600802+00:00,query,zona,2,500,
2026-09-24T19:17:04.600802+00:00,query,zona,3,500,
2026-09-24T19:17:04.600802+00:00,query,zona,4,500,
2026-09-24T19:17:04.600802+00:00,query,zona,5,500,
2026-09-24T19:17:04.600802+00:00,query,sector_disperso,1,500,
2026-09-24T19:17:04.600802+00:00,query,sector_disperso,2,500,
2026-09-24T19:17:04.600802+00:00,query,sector_disperso,3,500,
2026-09-24T19:17:04.600802+00:00,query,sector_disperso,4,500,
2026-09-24T19:17:04.600802+00:00,query,sector_disperso,5,500,
2026-09-24T19:17:04.600802+00:00,query,sector_amanzanado,1,500,
2026-09-24T19:17:04.600802+00:00,query,sector_amanzanado,2,500,
2026-09-24T19:17:04.600802+00:00,query,sector_amanzanado,3,500,
2026-09-24T19:17:04.600802+00:00,query,sector_amanzanado,4,500,
2026-09-24T19:17:04.600802+00:00,query,sector_amanzanado,5,500,
2026-09-24T19:17:04.600802+00:00,query,manzana,1,500,
2026-09-24T19:17:04.600802+00:00,query,manzana,2,500,
2026-09-24T19:17:04.600802+00:00,query,manzana,3,500,
2026-09-24T19:17:04.600802+00:00,query,manzana,4,500,
2026-09-24T19:17:04.600802+00:00,query,manzana,5,500,
2026-09-24T19:17:04.600802+00:00,query,sector_censal,1,500,
2026-09-24T19:17:04.600802+00:00,query,sector_censal,2,500,
2026-09-24T19:17:04.600802+00:00,query,sector_censal,3,500,
2026-09-24T19:17:04.600802+00:00,query,sector_censal,4,500,
2026-09-24T19:17:04.600802+00:00,query,sector_censal,5,500,
