clave_manzana,clave_sector,poblacion
010150003002006,010150003002,111
010150010006003,010150010006,45
010150010006004,010150010006,0
010150013008004,010150013008,51
010150042005006,010150042005,12
010150061012001,010150061012,83
010150061012002,010150061012,59
010150061012004,010150061012,92
010150061012005,010150061012,39
010150096009001,010150096009,313
010150099008001,010150099008,218
010150102002004,010150102002,3
010170001002004,010170001002,1
010850003002005,010850003002,18
011450001001018,011450001001,8
011550001001007,011550001001,59
011550001001008,011550001001,35
011550001001009,011550001001,43
011550001003008,011550001003,32
011550003005016,011550003005,8
011550003005017,011550003005,15
011550003007013,011550003007,39
011550901009002,011550901009,4
011550901009003,011550901009,10
011550901009004,011550901009,0
011550901009005,011550901009,0
011550901009006,011550901009,0
011550901009007,011550901009,0
011550901009008,011550901009,0
011550901009009,011550901009,0
011550901009010,011550901009,0
011550901009011,011550901009,0
011550901009012,011550901009,0
011550901009013,011550901009,0
011550901009014,011550901009,0
011550901009015,011550901009,0
011550901009016,011550901009,0
011550901009017,011550901009,41
011550901009018,011550901009,37
011550901009020,011550901009,0
011550901009021,011550901009,0
011550901009022,011550901009,0
011550901009023,011550901009,0
011550901009024,011550901009,0
011550901009025,011550901009,22
011550901009026,011550901009,38
011550901009027,011550901009,5
011550901009028,011550901009,12
011550901009029,011550901009,0
011550922004017,011550922004,47
011550922004018,011550922004,16
020150002004009,020150002004,6
020150002007003,020150002007,39
020150004001008,020150004001,96
020150004001009,020150004001,17
020150004001010,020150004001,8
020150004001011,020150004001,40
020150005005009,020150005005,68
020251001001020,020251001001,53
020450002003009,020450002003,36
030350002006016,030350002006,1
030350002006017,030350002006,16
030351001002007,030351001002,1
030450012008001,030450012008,0
030450012008002,030450012008,0
030450012008004,030450012008,0
030450012008005,030450012008,0
030450012008006,030450012008,0
030450012008007,030450012008,0
030450012008009,030450012008,0
030450012008011,030450012008,0
030450012008012,030450012008,0
030450012008013,030450012008,0
030450012008014,030450012008,0
030450012008015,030450012008,0
030450012008016,030450012008,0
030450012008017,030450012008,0
030450015004012,030450015004,122
030450015004016,030450015004,10
030452902009015,030452902009,18
030452902009016,030452902009,27
030452902009017,030452902009,25
030452902009018,030452902009,8
030750001004021,030750001004,0
040150016007012,040150016007,0
040150017004007,040150017004,18
040153001004008,040153001004,41
040153001004009,040153001004,20
040550004010012,040550004010,0
040550004010013,040550004010,0
040550004011017,040550004011,31
040550004011018,040550004011,54
050150007006007,050150007006,34
050150013002005,050150013002,82
050250001001012,050250001001,62
050250001002025,050250001002,29
050250001005021,050250001005,32
050250001005022,050250001005,21
050250002001021,050250002001,30
050250002001022,050250002001,3
050250002001023,050250002001,29
050250002001024,050250002001,24
050250002001025,050250002001,29
050250002003024,050250002003,22
050250005005005,050250005005,47
050250009001005,050250009001,7
050250009001006,050250009001,65
050250928003015,050250928003,3
050250928003016,050250928003,13
050250928003017,050250928003,1
050250928003018,050250928003,6
050554001005006,050554001005,104
050653001001012,050653001001,3
060155001003029,060155001003,24
060155001003030,060155001003,0
060155001009009,060155001009,34
060155002008003,060155002008,6
060155002008004,060155002008,25
060450001001015,060450001001,63
060450001001016,060450001001,39
060450001001017,060450001001,85
060651001001018,060651001001,16
060651001001019,060651001001,4
060651001001022,060651001001,12
060750003007013,060750003007,16
060750951005058,060750951005,2
060850001006003,060850001006,11
060850002008005,060850002008,54
060850002008006,060850002008,6
070150013009001,070150013009,0
070150013009006,070150013009,84
070150013009007,070150013009,75
070150013009008,070150013009,44
070150013009009,070150013009,115
070150013009010,070150013009,57
070150017002005,070150017002,40
070150067006017,070150067006,11
070150070009015,070150070009,1
070250001001024,070250001001,34
070250001002022,070250001002,21
070250001002023,070250001002,30
070250001002024,070250001002,10
070250001002026,070250001002,30
070250001002028,070250001002,4
070250001002029,070250001002,0
070250006007023,070250006007,13
070351001001015,070351001001,2
070650003011001,070650003011,89
070650003011002,070650003011,33
070650003011003,070650003011,38
070650003011005,070650003011,142
070650003011006,070650003011,14
070650003011008,070650003011,66
070650003011009,070650003011,97
070650007008004,070650007008,25
070650007008005,070650007008,12
070650007008006,070650007008,29
070653901002009,070653901002,33
070750016012024,070750016012,9
070750016013019,070750016013,41
070750016013020,070750016013,6
070750016013021,070750016013,5
070750016013022,070750016013,11
070750016013023,070750016013,10
070750016013024,070750016013,0
070750016013025,070750016013,6
070750016013026,070750016013,4
070750016013027,070750016013,0
070750016013028,070750016013,0
070750016013029,070750016013,6
070750016013030,070750016013,3
070750016013031,070750016013,13
070750019001001,070750019001,24
070750019001002,070750019001,25
070750019001003,070750019001,29
070750019001004,070750019001,12
070750019001005,070750019001,20
070750019001006,070750019001,16
070750019001007,070750019001,24
070750019001008,070750019001,31
070750019001009,070750019001,22
070750019001012,070750019001,31
070750019001013,070750019001,15
070750019001014,070750019001,8
070750019001015,070750019001,5
070750019001016,070750019001,36
070750019001017,070750019001,41
070750019002001,070750019002,31
070750019002002,070750019002,22
070750019002003,070750019002,46
070750019002004,070750019002,45
070750019002005,070750019002,25
070750019002006,070750019002,6
070750019002007,070750019002,11
070750019002008,070750019002,21
070750019002009,070750019002,14
070750019002010,070750019002,13
070750019002011,070750019002,4
070750019002012,070750019002,15
070750019002013,070750019002,35
