archivo,antes_bytes,despues_bytes
counts/v1a/canton/data.parquet,39119,36641
counts/v1a/categories/canton/01.parquet,0,79235
counts/v1a/categories/canton/02.parquet,0,41987
counts/v1a/categories/canton/03.parquet,0,43134
counts/v1a/categories/canton/04.parquet,0,35263
counts/v1a/categories/canton/05.parquet,0,52401
counts/v1a/categories/canton/06.parquet,0,59796
counts/v1a/categories/canton/07.parquet,0,83812
counts/v1a/categories/canton/08.parquet,0,50580
counts/v1a/categories/canton/09.parquet,0,160580
counts/v1a/categories/canton/10.parquet,0,47600
counts/v1a/categories/canton/11.parquet,0,76570
counts/v1a/categories/canton/12.parquet,0,83298
counts/v1a/categories/canton/13.parquet,0,129232
counts/v1a/categories/canton/14.parquet,0,58004
counts/v1a/categories/canton/15.parquet,0,35203
counts/v1a/categories/canton/16.parquet,0,28823
counts/v1a/categories/canton/17.parquet,0,77168
counts/v1a/categories/canton/18.parquet,0,58262
counts/v1a/categories/canton/19.parquet,0,45770
counts/v1a/categories/canton/20.parquet,0,21565
counts/v1a/categories/canton/21.parquet,0,47021
counts/v1a/categories/canton/22.parquet,0,36363
counts/v1a/categories/canton/23.parquet,0,22258
counts/v1a/categories/canton/24.parquet,0,25142
counts/v1a/categories/canton/province_key=01/data_0.parquet,125587,0
counts/v1a/categories/canton/province_key=02/data_0.parquet,68103,0
counts/v1a/categories/canton/province_key=03/data_0.parquet,70173,0
counts/v1a/categories/canton/province_key=04/data_0.parquet,59242,0
counts/v1a/categories/canton/province_key=05/data_0.parquet,82179,0
counts/v1a/categories/canton/province_key=06/data_0.parquet,94702,0
counts/v1a/categories/canton/province_key=07/data_0.parquet,131520,0
counts/v1a/categories/canton/province_key=08/data_0.parquet,83038,0
counts/v1a/categories/canton/province_key=09/data_0.parquet,258192,0
counts/v1a/categories/canton/province_key=10/data_0.parquet,74670,0
counts/v1a/categories/canton/province_key=11/data_0.parquet,126566,0
counts/v1a/categories/canton/province_key=12/data_0.parquet,133998,0
counts/v1a/categories/canton/province_key=13/data_0.parquet,207077,0
counts/v1a/categories/canton/province_key=14/data_0.parquet,96526,0
counts/v1a/categories/canton/province_key=15/data_0.parquet,56703,0
counts/v1a/categories/canton/province_key=16/data_0.parquet,46156,0
counts/v1a/categories/canton/province_key=17/data_0.parquet,116989,0
counts/v1a/categories/canton/province_key=18/data_0.parquet,92155,0
counts/v1a/categories/canton/province_key=19/data_0.parquet,75346,0
counts/v1a/categories/canton/province_key=20/data_0.parquet,32411,0
counts/v1a/categories/canton/province_key=21/data_0.parquet,73503,0
counts/v1a/categories/canton/province_key=22/data_0.parquet,56103,0
counts/v1a/categories/canton/province_key=23/data_0.parquet,33569,0
counts/v1a/categories/canton/province_key=24/data_0.parquet,42690,0
counts/v1a/categories/canton_only/01.parquet,38725,0
counts/v1a/categories/canton_only/02.parquet,22532,0
counts/v1a/categories/canton_only/03.parquet,23322,0
counts/v1a/categories/canton_only/04.parquet,18101,0
counts/v1a/categories/canton_only/05.parquet,30352,0
counts/v1a/categories/canton_only/06.parquet,31033,0
counts/v1a/categories/canton_only/07.parquet,44722,0
counts/v1a/categories/canton_only/08.parquet,30814,0
counts/v1a/categories/canton_only/09.parquet,82253,0
counts/v1a/categories/canton_only/10.parquet,28162,0
counts/v1a/categories/canton_only/11.parquet,36548,0
counts/v1a/categories/canton_only/12.parquet,42357,0
counts/v1a/categories/canton_only/13.parquet,63276,0
counts/v1a/categories/canton_only/14.parquet,33745,0
counts/v1a/categories/canton_only/15.parquet,22052,0
counts/v1a/categories/canton_only/16.parquet,19389,0
counts/v1a/categories/canton_only/17.parquet,48397,0
counts/v1a/categories/canton_only/18.parquet,31607,0
counts/v1a/categories/canton_only/19.parquet,23824,0
counts/v1a/categories/canton_only/20.parquet,12365,0
counts/v1a/categories/canton_only/21.parquet,29899,0
counts/v1a/categories/canton_only/22.parquet,24407,0
counts/v1a/categories/canton_only/23.parquet,18411,0
counts/v1a/categories/canton_only/24.parquet,19242,0
counts/v1a/categories/codebook.parquet,0,12073
counts/v1a/categories/finest/01.parquet,0,3628316
counts/v1a/categories/finest/02.parquet,0,995591
counts/v1a/categories/finest/03.parquet,0,1238355
counts/v1a/categories/finest/04.parquet,0,870977
counts/v1a/categories/finest/05.parquet,0,2119588
counts/v1a/categories/finest/06.parquet,0,2394369
counts/v1a/categories/finest/07.parquet,0,3415764
counts/v1a/categories/finest/08.parquet,0,2528332
counts/v1a/categories/finest/09.parquet,0,17220603
counts/v1a/categories/finest/10.parquet,0,2155980
counts/v1a/categories/finest/11.parquet,0,2333557
counts/v1a/categories/finest/12.parquet,0,4016895
counts/v1a/categories/finest/13.parquet,0,7120340
counts/v1a/categories/finest/14.parquet,0,984963
counts/v1a/categories/finest/15.parquet,0,629089
counts/v1a/categories/finest/16.parquet,0,527535
counts/v1a/categories/finest/17.parquet,0,11478897
counts/v1a/categories/finest/18.parquet,0,2626076
counts/v1a/categories/finest/19.parquet,0,622854
counts/v1a/categories/finest/20.parquet,0,153895
counts/v1a/categories/finest/21.parquet,0,988261
counts/v1a/categories/finest/22.parquet,0,862993
counts/v1a/categories/finest/23.parquet,0,2257885
counts/v1a/categories/finest/24.parquet,0,1738647
counts/v1a/categories/finest/emigracion/01.parquet,164577,0
counts/v1a/categories/finest/emigracion/02.parquet,14215,0
counts/v1a/categories/finest/emigracion/03.parquet,63539,0
counts/v1a/categories/finest/emigracion/04.parquet,10166,0
counts/v1a/categories/finest/emigracion/05.parquet,35557,0
counts/v1a/categories/finest/emigracion/06.parquet,68493,0
counts/v1a/categories/finest/emigracion/07.parquet,53913,0
counts/v1a/categories/finest/emigracion/08.parquet,22289,0
counts/v1a/categories/finest/emigracion/09.parquet,270899,0
counts/v1a/categories/finest/emigracion/10.parquet,45162,0
counts/v1a/categories/finest/emigracion/11.parquet,55840,0
counts/v1a/categories/finest/emigracion/12.parquet,26408,0
counts/v1a/categories/finest/emigracion/13.parquet,68046,0
counts/v1a/categories/finest/emigracion/14.parquet,36357,0
counts/v1a/categories/finest/emigracion/15.parquet,8379,0
counts/v1a/categories/finest/emigracion/16.parquet,12485,0
counts/v1a/categories/finest/emigracion/17.parquet,318528,0
counts/v1a/categories/finest/emigracion/18.parquet,75724,0
counts/v1a/categories/finest/emigracion/19.parquet,18292,0
counts/v1a/categories/finest/emigracion/20.parquet,6242,0
counts/v1a/categories/finest/emigracion/21.parquet,12930,0
